POB1,nom_estado,cve_mun,nom_mun,2006,2007,2008,2009,2010,2011,2012,2013,2014
962,Sonora,26032,Huásabas,0,0,0,0,0,0,0,0,0
79313,Sonora,26033,Huatabampo,0,0,0,0,0,0,0,4,6
1154,Sonora,26034,Huépac,0,0,0,0,0,0,0,0,0
12316,Sonora,26035,Imuris,0,0,0,0,4,1,0,4,2
29707,Sonora,26036,Magdalena,0,0,0,0,0,0,1,3,3
1350,Sonora,26037,Mazatán,0,0,0,0,0,0,0,0,0
4680,Sonora,26038,Moctezuma,0,0,0,0,0,0,0,0,1
6401,Sonora,26039,Naco,0,1,5,0,1,0,0,4,0
2051,Sonora,26040,Nácori Chico,0,0,0,0,0,0,0,0,0
12751,Sonora,26041,Nacozari de García,0,0,0,0,0,1,0,4,4
157729,Sonora,26042,Navojoa,0,0,0,0,0,2,2,14,7
220292,Sonora,26043,Nogales,0,2,0,0,2,5,9,23,43
399,Sonora,26044,Onavas,0,0,1,0,0,0,0,0,0
2878,Sonora,26045,Opodepe,0,0,0,0,0,0,0,0,0
443,Sonora,26046,Oquitoa,0,0,0,0,0,0,0,0,0
9468,Sonora,26047,Pitiquito,0,0,0,0,0,0,0,0,1
57342,Sonora,26048,Puerto Peñasco,0,1,0,8,15,11,17,9,11
3356,Sonora,26049,Quiriego,0,0,0,0,0,0,0,0,0
1599,Sonora,26050,Rayón,0,0,0,0,0,0,0,0,0
5226,Sonora,26051,Rosario,0,0,0,0,0,0,0,0,0
6020,Sonora,26052,Sahuaripa,0,0,0,0,0,0,0,0,0
396,Sonora,26053,San Felipe de Jesús,0,0,0,0,0,0,0,0,0
492,Sonora,26054,San Javier,0,0,0,0,0,0,0,0,0
178380,Sonora,26055,San Luis Río Colorado,0,1,0,0,7,4,22,13,7
8382,Sonora,26056,San Miguel de Horcasitas,0,0,0,1,0,0,0,1,0
1604,Sonora,26057,San Pedro de la Cueva,0,0,0,0,0,0,0,0,0
16014,Sonora,26058,Santa Ana,0,1,0,0,0,0,3,4,1
1998,Sonora,26059,Santa Cruz,0,0,0,0,0,1,0,0,1
2703,Sonora,26060,Sáric,0,0,1,0,3,0,2,2,0
1284,Sonora,26061,Soyopa,0,0,0,0,0,0,0,0,0
1121,Sonora,26062,Suaqui Grande,0,0,0,0,0,0,0,0,0
1365,Sonora,26063,Tepache,0,0,0,0,0,0,0,0,0
1731,Sonora,26064,Trincheras,0,0,0,0,0,0,0,2,0
1735,Sonora,26065,Tubutama,0,0,1,0,0,0,0,0,0
9185,Sonora,26066,Ures,0,0,0,0,0,0,0,0,0
1738,Sonora,26067,Villa Hidalgo,0,0,0,0,0,0,0,0,0
1254,Sonora,26068,Villa Pesqueira,0,0,0,0,0,0,0,0,0
6046,Sonora,26069,Yécora,0,0,0,0,0,0,0,0,0
15652,Sonora,26070,General Plutarco Elías Cal,0,1,1,0,1,2,6,9,7
22009,Sonora,26071,Benito Juárez,0,0,0,0,0,0,0,0,0
14136,Sonora,26072,San Ignacio Río Muerto,0,0,0,0,0,0,0,0,1
11457,Chihuahua,8001,Ahumada,0,1,0,0,1,0,0,0,0
22302,Chihuahua,8002,Aldama,0,0,1,1,1,1,1,0,0
8409,Chihuahua,8003,Allende,0,0,0,0,0,1,1,0,1
10688,Chihuahua,8004,Aquiles Serdán,0,0,0,0,0,0,1,0,0
23975,Chihuahua,8005,Ascensión,0,0,0,0,0,0,0,1,0
6011,Chihuahua,8006,Bachíniva,0,0,0,1,0,0,0,0,0
17672,Chihuahua,8007,Balleza,0,0,0,0,2,0,1,5,1
14362,Chihuahua,8008,Batopilas,0,0,0,0,1,1,0,0,0
28766,Chihuahua,8009,Bocoyna,0,0,0,0,0,0,0,0,0
22378,Chihuahua,8010,Buenaventura,0,0,0,0,0,0,0,0,0
48748,Chihuahua,8011,Camargo,0,1,1,0,3,6,2,0,1
8795,Chihuahua,8012,Carichí,0,0,0,0,1,0,0,0,0
10587,Chihuahua,8013,Casas Grandes,0,0,0,0,0,0,0,0,0
2284,Chihuahua,8014,Coronado,0,0,0,0,0,0,0,0,0
1681,Chihuahua,8015,Coyame del Sotol,0,0,0,0,0,0,0,0,0
3982,Chihuahua,8016,La Cruz,0,0,0,0,0,0,0,0,0
154639,Chihuahua,8017,Cuauhtémoc,0,3,20,11,19,51,44,7,5
5414,Chihuahua,8018,Cusihuiriachi,0,0,0,0,0,0,0,0,0
819543,Chihuahua,8019,Chihuahua,3,10,13,16,37,28,16,35,2
8441,Chihuahua,8020,Chínipas,0,0,0,0,0,0,0,0,0
137935,Chihuahua,8021,Delicias,0,0,0,9,9,11,3,14,2
2911,Chihuahua,8022,Dr. Belisario Domínguez,0,0,0,0,0,0,0,0,0
5892,Chihuahua,8023,Galeana,0,0,0,0,0,0,0,0,0
3937,Chihuahua,8024,Santa Isabel,0,0,0,0,0,2,0,0,0
8624,Chihuahua,8025,Gómez Farías,0,0,0,0,0,0,0,0,0
3209,Chihuahua,8026,Gran Morelos,0,0,0,0,0,0,0,0,0
49689,Chihuahua,8027,Guachochi,0,1,0,0,0,0,0,0,0
6458,Chihuahua,8028,Guadalupe,0,0,0,0,0,0,0,0,0
53499,Chihuahua,8029,Guadalupe y Calvo,0,0,0,0,1,2,0,1,0
8998,Chihuahua,8030,Guazapares,0,0,0,0,0,0,0,0,0
39626,Chihuahua,8031,Guerrero,0,0,0,0,0,0,1,1,0
107061,Chihuahua,8032,Hidalgo del Parral,0,0,3,4,3,9,6,22,6
1049,Chihuahua,8033,Huejotitán,0,0,0,0,0,0,0,0,0
6934,Chihuahua,8034,Ignacio Zaragoza,0,0,0,0,0,0,0,0,0
10953,Chihuahua,8035,Janos,0,0,0,0,0,0,0,2,0
41265,Chihuahua,8036,Jiménez,0,0,0,0,1,0,0,1,0
1332131,Chihuahua,8037,Juárez,10,69,52,62,67,79,46,64,94
4953,Chihuahua,8038,Julimes,0,0,0,0,0,0,1,2,0
4025,Chihuahua,8039,López,0,0,0,0,0,0,0,0,0
29611,Chihuahua,8040,Madera,0,0,0,0,0,1,0,0,1
1921,Chihuahua,8041,Maguarichi,0,0,0,0,0,0,0,0,0
1601,Chihuahua,8042,Manuel Benavides,0,0,0,0,0,0,0,0,0
3104,Chihuahua,8043,Matachí,0,0,0,0,0,0,0,0,0
4499,Chihuahua,8044,Matamoros,0,0,0,0,0,0,1,1,0
43833,Chihuahua,8045,Meoqui,0,0,0,3,1,6,3,0,0
8343,Chihuahua,8046,Morelos,0,0,0,0,0,0,0,0,0
5312,Chihuahua,8047,Moris,0,0,0,0,0,0,0,0,0
22880,Chihuahua,8048,Namiquipa,0,0,1,0,2,0,0,0,0
2849,Chihuahua,8049,Nonoava,0,0,0,0,0,0,0,0,0
59337,Chihuahua,8050,Nuevo Casas Grandes,0,0,0,0,0,0,0,0,5
7546,Chihuahua,8051,Ocampo,0,0,0,0,0,0,0,0,0
26304,Chihuahua,8052,Ojinaga,0,1,2,0,9,18,14,6,0
4799,Chihuahua,8053,Praxedis G. Guerrero,0,0,0,0,0,0,0,0,2
8012,Chihuahua,8054,Riva Palacio,0,0,0,0,0,0,0,1,0
16785,Chihuahua,8055,Rosales,0,0,0,0,0,0,2,3,0
2235,Chihuahua,8056,Rosario,0,0,0,0,0,0,0,0,0
2290,Chihuahua,8057,San Francisco de Borja,0,0,0,0,0,0,0,0,0
2983,Chihuahua,8058,San Francisco de Conchos,0,0,0,0,0,0,0,3,0
4753,Chihuahua,8059,San Francisco del Oro,0,0,0,0,1,0,0,0,0
10427,Chihuahua,8060,Santa Bárbara,0,0,0,1,0,0,0,0,0
3662,Chihuahua,8061,Satevó,0,0,1,0,0,0,0,0,0
32325,Chihuahua,8062,Saucillo,0,0,0,0,0,2,0,2,0
6211,Chihuahua,8063,Temósachi,0,0,0,0,0,1,0,0,0
1869,Chihuahua,8064,El Tule,0,0,0,0,0,0,0,0,0
20386,Chihuahua,8065,Urique,0,0,0,0,1,0,0,1,0
8200,Chihuahua,8066,Uruachi,0,0,0,0,0,0,0,0,0
5105,Chihuahua,8067,Valle de Zaragoza,0,0,0,0,0,0,0,0,0
