POB1,nom_estado,nom_mun,2006,2007,2008,2009,2010,2011,2012,2013,2014
136558,México,Acolman,0,0,0,0,0,2,1,0,1
44823,México,Aculco,0,0,0,0,0,0,0,0,0
14856,México,Almoloya de Alquisiras,0,0,0,0,0,0,0,1,0
147653,México,Almoloya de Juárez,0,0,0,0,0,1,1,2,4
10886,México,Almoloya del Río,0,0,0,0,0,1,0,0,0
22868,México,Amanalco,0,0,0,0,0,0,1,0,0
26334,México,Amatepec,0,0,0,0,0,0,0,0,0
48421,México,Amecameca,0,0,1,0,0,4,1,3,30
27521,México,Apaxco,0,0,0,0,0,0,0,1,0
56243,México,Atenco,0,0,0,0,0,0,2,0,0
10299,México,Atizapán,0,1,0,0,0,0,1,0,0
489937,México,Atizapán de Zaragoza,0,0,0,0,3,6,3,4,4
93718,México,Atlacomulco,0,1,0,0,0,0,0,1,10
27663,México,Atlautla,0,1,0,0,0,0,0,0,0
25559,México,Axapusco,0,0,0,0,0,0,0,0,0
8864,México,Ayapango,0,0,0,0,0,0,0,0,0
47033,México,Calimaya,0,0,0,0,0,0,0,1,1
34101,México,Capulhuac,0,0,0,1,0,1,0,0,0
278064,México,Coacalco de Berriozábal,0,1,0,3,4,2,3,1,5
36174,México,Coatepec Harinas,0,1,0,1,0,0,0,0,0
12142,México,Cocotitlán,0,0,0,0,0,0,0,0,0
39030,México,Coyotepec,0,0,1,0,2,0,1,0,0
140059,México,Cuautitlán,0,7,1,5,4,5,4,10,34
310130,México,Chalco,0,6,3,10,3,6,5,4,7
27551,México,Chapa de Mota,0,0,0,0,0,0,0,0,0
9676,México,Chapultepec,0,0,0,0,0,0,0,0,0
26191,México,Chiautla,0,0,0,0,0,0,0,0,0
175053,México,Chicoloapan,0,1,1,0,0,2,0,3,2
22819,México,Chiconcuac,0,0,0,0,0,0,0,1,0
614453,México,Chimalhuacán,1,5,5,7,3,9,4,6,6
33455,México,Donato Guerra,0,0,0,0,0,0,1,0,1
1656107,México,Ecatepec de Morelos,0,5,3,15,12,13,6,12,50
9369,México,Ecatzingo,0,0,0,0,0,0,0,0,0
100023,México,Huehuetoca,0,1,0,3,1,0,2,3,2
39864,México,Hueypoxtla,0,0,0,0,0,1,0,1,0
242167,México,Huixquilucan,0,2,0,3,1,4,2,0,2
10308,México,Isidro Fabela,0,0,0,0,0,0,0,1,0
467361,México,Ixtapaluca,1,1,6,4,4,5,7,12,5
33541,México,Ixtapan de la Sal,0,0,0,2,0,0,0,2,1
6629,México,Ixtapan del Oro,0,0,0,0,0,0,0,0,0
141482,México,Ixtlahuaca,0,0,0,0,0,6,0,0,2
26865,México,Xalatlaco,0,0,0,0,0,0,0,1,0
26328,México,Jaltenco,0,0,0,0,0,0,0,0,0
83755,México,Jilotepec,0,0,0,0,0,0,0,0,0
17970,México,Jilotzingo,0,2,0,0,1,0,0,1,1
69031,México,Jiquipilco,0,0,0,0,0,0,0,1,2
61204,México,Jocotitlán,0,0,0,0,1,0,0,0,0
12840,México,Joquicingo,0,0,0,0,0,0,0,0,0
23497,México,Juchitepec,0,0,0,0,0,0,1,1,0
134799,México,Lerma,1,0,0,2,0,5,2,2,2
25624,México,Malinalco,0,0,0,1,0,0,0,0,0
50240,México,Melchor Ocampo,0,0,0,0,1,0,2,3,0
214162,México,Metepec,0,2,2,2,1,1,6,4,8
11712,México,Mexicaltzingo,0,0,0,0,0,0,0,1,0
28426,México,Morelos,0,0,0,0,0,0,0,0,0
833779,México,Naucalpan de Juárez,1,9,4,4,10,8,10,6,10
1110565,México,Nezahualcóyotl,5,9,6,5,8,13,10,26,81
31691,México,Nextlalpan,0,0,0,0,1,0,0,0,1
366602,México,Nicolás Romero,0,3,0,2,3,2,8,1,9
8895,México,Nopaltepec,0,0,0,0,0,0,0,0,0
61805,México,Ocoyoacac,0,0,0,0,0,1,1,3,0
31803,México,Ocuilan,1,1,0,0,0,0,0,1,1
34446,México,El Oro,0,1,0,0,0,1,0,0,0
34232,México,Otumba,0,0,0,0,0,0,2,0,0
4864,México,Otzoloapan,0,0,0,0,0,0,0,0,0
78146,México,Otzolotepec,0,0,0,0,0,1,1,4,0
27207,México,Ozumba,0,0,0,0,0,1,0,1,0
4147,México,Papalotla,0,0,0,0,0,0,0,0,0
253845,México,La Paz,0,5,1,2,1,4,2,2,7
13002,México,Polotitlán,0,0,0,0,0,0,0,0,0
